ASV	Description	MaxScore	TotalScore	QueryCover	Evalue	PerIdent	Accession
ASV4	Clostridium perfringens strain JCM 1290 16S ribosomal RNA, partial sequence	2658	2658	100%	0.0	100.00%	NR_113204.1
ASV4	Clostridium perfringens strain BB5-8 16S ribosomal RNA gene, partial sequence	2658	2658	100%	0.0	100.00%	FJ215334.1
ASV4	Clostridiaceae bacterium bSSV11 gene for 16S ribosomal RNA, partial sequence	2658	2658	100%	0.0	100.00%	AB264618.2
#ASV5
ASV5	Clostridium perfringens strain NCTC2837 genome assembly, chromosome: 1	2658	26429	100%	0.0	100.00%	LS483461.1
ASV5	Clostridium perfringens strain EHE-NE18 chromosome, complete genome	2658	26445	100%	0.0	100.00%	CP025501.1
ASV5	Clostridium perfringens strain LLY_N11 chromosome, complete genome	2658	26423	100%	0.0	100.00%	CP023410.1
ASV5	Clostridium perfringens strain CP15 genome	2658	26464	100%	0.0	100.00%	CP019468.1
ASV5	Clostridium perfringens isolate MGYG-HGUT-02372 genome assembly, chromosome: 1	2658	26468	100%	0.0	100.00%	LR698985.1
ASV5	Clostridium perfringens ATCC 13124, complete genome	2658	21178	100%	0.0	100.00%	CP000246.1
#ASV6
ASV6	Clostridium perfringens strain LLY_N11 chromosome, complete genome	2658	26401	100%	0.0	100.00%	CP023410.1
ASV6	Clostridium perfringens ATCC 13124, complete genome	2658	21167	100%	0.0	100.00%	CP000246.1
#ASV7
ASV7	Clostridium perfringens strain NCTC13170 genome assembly, chromosome: 1	2658	26373	100%	0.0	100.00%	LS483393.1
ASV7	Clostridium perfringens strain LLY_N11 chromosome, complete genome	2658	26357	100%	0.0	100.00%	CP023410.1
ASV7	Clostridium perfringens strain JP55, complete genome	2658	26379	100%	0.0	100.00%	CP010993.1
#ASV8
ASV8	Clostridium perfringens strain NCTC2837 genome assembly, chromosome: 1	2652	26351	100%	0.0	99.93%	LS483461.1
ASV8	Clostridium perfringens strain LLY_N11 chromosome, complete genome	2652	26324	100%	0.0	99.93%	CP023410.1
ASV8	Clostridium perfringens strain JP55, complete genome	2652	26346	100%	0.0	99.93%	CP010993.1
ASV8	Clostridium perfringens ATCC 13124, complete genome	2652	21112	100%	0.0	99.93%	CP000246.1
#ASV9
ASV9	Clostridium perfringens strain NCTC13170 genome assembly, chromosome: 1	2658	26440	100%	0.0	100.00%	LS483393.1
ASV9	Clostridium perfringens strain EHE-NE18 chromosome, complete genome	2658	26434	100%	0.0	100.00%	CP025501.1
ASV9	Clostridium perfringens strain Del1 genome	2658	26394	100%	0.0	100.00%	CP019576.1
ASV9	Clostridium perfringens ATCC 13124, complete genome	2658	21167	100%	0.0	100.00%	CP000246.1
